time,CE Model,CE & ET Model
1900.0,1.47,1.47
1900.5,1.47,1.47
1901.0,1.47,1.47
1901.5,1.47,1.47
1902.0,1.470114463125,1.470114463125
1902.5,1.470471598739085,1.4704752258093974
1903.0,1.4711721574769068,1.4711868477109231
1903.5,1.4722787471538328,1.472314417107966
1904.0,1.4738188343981014,1.4738862008742586
1904.5,1.4757926324996704,1.475901802799737
1905.0,1.4781816977310962,1.4783412188784495
1905.5,1.4809564033127387,1.4811727702205544
1906.0,1.4840816863006265,1.4843591889216818
1906.5,1.4875211560519301,1.4878619097325436
1907.0,1.4912397911147683,1.4916438589949015
1907.5,1.4952055345651143,1.4956710312978774
1908.0,1.4993900890372138,1.4999132893688423
1908.5,1.5037691661732688,1.50434462533169
1909.0,1.508322388942833,1.5089430712562455
1909.5,1.51303299247128,1.5136904015389137
1910.0,1.5178874248767973,1.518571728954725
1910.5,1.522874915248285,1.5235750631260707
1911.0,1.527987050495328,1.5286908749308155
1911.5,1.5332173848372206,1.5339116921891012
1912.0,1.5385610935244352,1.5392317394325363
1912.5,1.5440146745155667,1.544646050287945
1913.0,1.5495756970382792,1.5501485837901297
1913.5,1.5552425932879348,1.5557325652905203
1914.0,1.5610144882487265,1.5613912971523407
1914.5,1.566891062298533,1.5671186733093252
1915.0,1.5728724413866295,1.5729092438539112
1915.5,1.578959110888686,1.578758555318633
1916.0,1.5851518488802803,1.5846633794148641
1916.5,1.5914516744901235,1.5906217637972866
1917.0,1.597858430439756,1.596631565109283
1917.5,1.6043719579787115,1.6026915240884398
1918.0,1.610992566978915,1.6088016876940594
1918.5,1.617721145805249,1.6149633133421135
1919.0,1.6245591110817077,1.6211785826361944
1919.5,1.6315083018056473,1.6274502862219808
1920.0,1.6385708671425172,1.6337815501059776
1920.5,1.6457491692539985,1.6401756261271965
1921.0,1.653045708196133,1.6466357492357486
1921.5,1.660463067663791,1.6531650872657244
1922.0,1.6680038787436784,1.6597666918587297
1922.5,1.675670797822694,1.666443464758477
1923.0,1.6834664948944817,1.6731981405017287
1923.5,1.6913936490680952,1.6800332835061413
1924.0,1.6994549487701234,1.6869512958855255
1924.5,1.7076530947825357,1.6939544322165168
1925.0,1.7159908048069032,1.7010448348063807
1925.5,1.7244708186760604,1.7082246129692538
1926.0,1.7330959036549995,1.7154959400319483
1926.5,1.7418688595018181,1.7228614420300647
1927.0,1.7507925231164603,1.730324220922696
1927.5,1.7598697727079713,1.7378877519595641
1928.0,1.7691035314750543,1.7455557657115852
1928.5,1.7784967708317265,1.7533321178243613
1929.0,1.7880525132287253,1.7612206842970515
1929.5,1.7977738346277552,1.7692253253495875
1930.0,1.8076638666860656,1.7773498531233771
1930.5,1.8177257986930022,1.7855980024022753
1931.0,1.8279628793067444,1.7939734140591672
1931.5,1.838378418115415,1.8024796315463227
1932.0,1.8489757870613945,1.811120107483722
1932.5,1.8597584217720213,1.8198982156496606
1933.0,1.870729822832418,1.8288172228489492
1933.5,1.8818935570266058,1.8378803014359604
1934.0,1.8932532585647552,1.847090556990983
1934.5,1.904812630308212,1.856451058601058
1935.0,1.9165754450005261,1.865964879037931
1935.5,1.9285455465110366,1.8756351258454842
1936.0,1.9407268510923423,1.8854649542600692
1936.5,1.9531233486516912,1.8954575712635906
1937.0,1.965739104036321,1.90561623685194
1937.5,1.978578258333127,1.9159442645496378
1938.0,1.991645030183263,1.9264450220182683
1938.5,2.004943717112404,1.937121932018502
1939.0,2.0184786968773674,1.9479784737088792
1939.5,2.032254428829692,1.959018184189542
1940.0,2.046275455296651,1.970244659941161
1940.5,2.0605464029800107,1.9816615576825254
1941.0,2.0750719843727476,1.9932725949359047
1941.5,2.08985699919379,2.005081546130099
1942.0,2.104906335840777,2.01709224401554
1942.5,2.120224972656808,2.0293085829653505
1943.0,2.135817978642554,2.0417345244853577
1943.5,2.1516904705091813,2.054374073372146
1944.0,2.167847576152519,2.067231255867611
1944.5,2.184294415510974,2.080310113793098
1945.0,2.2010360968666616,2.093614702862961
1945.5,2.2180777236216,2.1071490959945
1946.0,2.2354244069170184,2.1209173892006263
1946.5,2.253081280671367,2.1349237086105646
1947.0,2.271053516811045,2.149172217728518
1947.5,2.2893463394068903,2.163667124405416
1948.0,2.307965037086802,2.1784126876770773
1948.5,2.326914973519549,2.1934132230433407
1949.0,2.3462015960180302,2.20867310713505
1949.5,2.36583044244573,2.224196781642445
1950.0,2.3858071466690967,2.239988755972511
1950.5,2.4061374428107145,2.2560536093735672
1951.0,2.426827168543775,2.27239599308111
1951.5,2.447882267640638,2.2890206325319533
1952.0,2.4693087919557075,2.3059323295092486
1952.5,2.4911129029901313,2.3231359642927845
1953.0,2.5133008731558437,2.3406364978010177
1953.5,2.5358790868302683,2.3584389736842772
1954.0,2.55885404127102,2.376548426138231
1954.5,2.582232347442056,2.394969602036213
1955.0,2.6060207307884293,2.413706690776702
1955.5,2.630226031985719,2.4327631368292115
1956.0,2.6548552076816714,2.452141549456707
1956.5,2.679915331207478,2.471843705159776
1957.0,2.7054136007276846,2.491870638060343
1957.5,2.73135735322652,2.5122227921681533
1958.0,2.757754077609073,2.5329002127034994
1958.5,2.7846114240466115,2.5539027583546416
1959.0,2.811937207759965,2.575230318930271
1959.5,2.839739407833777,2.5968830263090417
1960.0,2.8680261624926073,2.61886144964862
1960.5,2.8968057623268115,2.6411667676457586
1961.0,2.9260866426906933,2.6638009124953332
1961.5,2.9558773761463284,2.686766681800041
1962.0,2.9861866655031313,2.7100678161993534
1962.5,3.0170233377456652,2.733709041947805
1963.0,3.0483963389564153,2.7576961881600015
1963.5,3.0803147302173612,2.7820362674084125
1964.0,3.1127876844007343,2.806737429506084
1964.5,3.1458244837218063,2.8318088473034924
1965.0,3.1794345179134016,2.8572605667601723
1965.5,3.213627282982593,2.8831033402411044
1966.0,3.248412380960318,2.9093484552379083
1966.5,3.2837995203972223,2.9360075670650363
