time,mat=1_cost=1_rec=1,mat=0_cost=0_rec=0,mat=0.2_cost=0.2_rec=0.2,mat=2_cost=2_rec=2,mat=5_cost=5_rec=5,mat=5_cost=1_rec=1,mat=1_cost=5_rec=1,mat=1_cost=1_rec=5,mat=0.2_cost=1_rec=1,mat=1_cost=0.2_rec=1,mat=1_cost=1_rec=0.2,mat=2_cost=5_rec=0.2,mat=0.2_cost=2_rec=5,mat=5_cost=0.2_rec=2
1900.0,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
1900.5,1.6035647346401556,1.6035647346401556,1.6035647346401556,1.6035647346401556,1.6035647346401556,1.6035647346401556,1.6035647346401556,1.6035647346401556,1.6035647346401556,1.6035647346401556,1.6035647346401556,1.6035647346401556,1.6035647346401556,1.6035647346401556
1901.0,1.6054543228222924,1.608185777761889,1.605454322873616,1.605454322758138,1.605454322565675,1.6054543228222924,1.6054543228222924,1.605454322565675,1.6054543228222924,1.6054543228222924,1.605454322873616,1.605454322873616,1.605454322565675,1.605454322758138
1901.5,1.608127469823482,1.6139697427759363,1.6081753643396988,1.6081214827152503,1.608117889667098,1.6081274692485212,1.6081178920471375,1.608127463262013,1.608127469938481,1.6081753559454006,1.6081274711363296,1.6081178924991066,1.6081214800883559,1.6081753174502633
1902.0,1.6114725504049225,1.620737938738057,1.6116081338573645,1.6114555759117164,1.6114453863883533,1.6114725487693913,1.6114453928901848,1.6114725320473324,1.6114725507320478,1.6116081101514632,1.6114725540780113,1.611445394122117,1.6114555686507497,1.611608001174224
1902.5,1.615377140019797,1.628293182252137,1.6156363435811083,1.615344650164581,1.6153251427255457,1.6153771368884624,1.615325155404101,1.6153771046532936,1.6153771406460997,1.615636298256515,1.6153771470961031,1.6153251578087275,1.615344636092039,1.6156360900499416
1903.0,1.6198983753948508,1.6361292722727472,1.62038680805024,1.6198370651841023,1.619800244885889,1.6198983694315003,1.6198002674237915,1.6198983100647155,1.6198983765875887,1.6203867229708775,1.619898388466548,1.619800271678944,1.6198370396892265,1.6203863312353561
1903.5,1.6249669525269068,1.6440854467716477,1.625722073216459,1.6248720504545053,1.6248150439914286,1.6249669429469862,1.6248150785454132,1.624966851812896,1.6249669544429577,1.625721941538629,1.6249669726784848,1.624815085033844,1.6248720113697444,1.6257213348470523
1904.0,1.6304723307902973,1.6521079535443188,1.63149799593776,1.6303395881577647,1.6302598343649208,1.6304723161772487,1.6302598830538784,1.6304721898021457,1.6304723337128328,1.631497822397138,1.6304723590002042,1.6302598920916103,1.630339533670686,1.631497057720377
1904.5,1.6362994840603857,1.6601532753904111,1.6375774789075697,1.6361261842080201,1.6360220391993554,1.6362994618630302,1.636022104394224,1.636299298967639,1.6362994884993214,1.637577269871083,1.6362995210949691,1.636022116238726,1.6361261130092946,1.637576410941926
1905.0,1.6423603109370475,1.6682054508032833,1.6438689969977984,1.6421438741690702,1.6420137770357055,1.6423602765712415,1.6420138613526882,1.6423600781446321,1.642360317808645,1.6438687514302783,1.6423603575155727,1.6420138761275143,1.6421437855472871,1.643867799266863
1905.5,1.6485863629909894,1.6762545967659002,1.650302996730882,1.6483244003614848,1.6481669036513085,1.6485863089686053,1.648167010155212,1.6485860791520754,1.6485863737920112,1.6503027091432698,1.6485864197830606,1.6481670278118896,1.6483242943860477,1.6503016340787378
1906.0,1.654902823709101,1.6842951686867427,1.6568107841143445,1.6545938291467972,1.6544080140492994,1.6549027387207935,1.6544081465767455,1.6549024860802544,1.654902840700229,1.6568104441265807,1.654902891263566,1.6544081668738508,1.6545937068909924,1.656809191987766
1906.5,1.6612776878448057,1.6923247358736464,1.6633633934042482,1.6609192601177458,1.6607036725290591,1.661277555602324,1.6607038356577026,1.6612772932647515,1.661277714282166,1.6633629855408267,1.6612777667941716,1.6607038580592377,1.660919123801668,1.6633614759957316
1907.0,1.667685352473452,1.7003431075720665,1.669937445555343,1.6672752948641822,1.6670286008278228,1.6676851508019257,1.667028800236534,1.6676848979879006,1.667685392790162,1.6699369488393059,1.6676854434088124,1.6670288238967694,1.6672751481186012,1.6699350747100323
1907.5,1.6741070174260302,1.7083517016802743,1.6765170167206034,1.6736432009313802,1.6733641073044792,1.6741067172543016,1.6733643499708046,1.674106500185268,1.6741070774341507,1.6765164036438682,1.6741071209175644,1.6733643736842339,1.6736430490034566,1.6765140241609275
1908.0,1.680529231940005,1.716353084358446,1.6830908044966482,1.6800095623144589,1.679696796648562,1.6805287963566327,1.6796970910454125,1.6805286491687712,1.6805293190193586,1.6830900411075924,1.6805293485430028,1.6796971132015588,1.680009412267847,1.6830869841913887
1908.5,1.6869427120390168,1.7243506319041209,1.689651287999774,1.6863651036482334,1.6860173985410263,1.6869420954174863,1.6860177548184823,1.6869420610113917,1.6869428353121727,1.6896503336108444,1.6869428422989043,1.6860177733600288,1.6863649645493135,1.689646394196293
1909.0,1.6933412250659727,1.7323482813446944,1.6961940216200047,1.6927037107769414,1.6923198378474567,1.6933403720580829,1.6923202679968141,1.693340503159694,1.6933413955996113,1.6961928287192567,1.6933413695074377,1.6923202803818496,1.6927035939199955,1.6961877681244408
1909.5,1.6997210165322514,1.7403503461803316,1.7027167409492059,1.6990215586300068,1.6986002931340767,1.6997198615902438,1.6986008112148239,1.6997202211152183,1.6997212474327534,1.7027152553469032,1.6997211756819597,1.6986008143714735,1.6990214776278714,1.7027088022314385
1910.0,1.7060803217312308,1.7483509515900437,1.709219188714441,1.7053168165522015,1.704856888605832,1.706078788495834,1.7048575107731578,1.7060794501569052,1.7060806282671008,1.7092173494970573,1.706080496118746,1.7048575010830553,1.7053167874674344,1.7092091987168039
