variable,persistent pollution index,population,food per capita,industrial output,resources_total,persistent pollution index,population,food per capita,industrial output,resources_energy,resources_material
model,Base Model,Base Model,Base Model,Base Model,Base Model,CE & ET Model,CE & ET Model,CE & ET Model,CE & ET Model,CE & ET Model,CE & ET Model
time,,,,,,,,,,,
1900.0,0.18382352941176472,1600000000.0,269.325,66500000000.0,1.0,0.18382352941176472,1600000000.0,269.325,66500000000.0,1.0,1.0
1900.5,0.17848433123249297,1603564734.6401556,272.22079455091045,67836195546.96259,0.9998586875,0.1784852342803724,1603564734.6401556,272.22079455091045,62294528880.29593,0.9998586736801662,0.9998586875
1901.0,0.1744163707149526,1608185777.7384284,274.06967739483326,69039792007.24527,0.9997145355844627,0.17441796179931163,1605454322.8222923,272.6066541573987,63239421410.36054,0.999727950338167,0.9997100577198794
1901.5,0.17131697222539807,1613502287.2128265,275.31952451759554,70381890107.46387,0.9995678260264472,0.17131908752802721,1608127469.823482,272.98617300816665,64247957880.38332,0.9995969194352051,0.9995590934506939
1902.0,0.16895552575716605,1619423299.078801,276.23745854197017,71792448365.08115,0.9994182645099688,0.16895804046419144,1611472550.4049225,273.368965328375,65288747935.07844,0.9994654718940733,0.9994057308605341
1902.5,0.1671569550694985,1625837593.2056484,276.97024996198405,73208462887.29713,0.9992657055571931,0.1671592736632783,1615377140.0197968,273.7555090619152,66359297012.121124,0.9993335664501574,0.9992498905802925
1903.0,0.16578884727066734,1632619131.0688145,277.5867789622891,74630186350.76912,0.9991101375735576,0.16578927761826612,1619898375.3948507,274.12167301016586,67457625032.252785,0.9992011681442156,0.9990914995707935
1903.5,0.16475150966751712,1639669832.86854,278.13712718441093,76050475270.33102,0.9989515484275623,0.16474667730852255,1624966952.5269067,274.4703435469181,68582019558.27482,0.9990682471413717,0.9989304898566297
1904.0,0.16397030517213973,1646909442.829265,278.65183737474933,77452089102.22188,0.9987899411676128,0.16395467497780086,1630472330.7902973,274.8128804857899,69695700162.15065,0.9989347780922023,0.9987667977882064
1904.5,0.16338974820694543,1654265451.8018591,279.1456792747976,78863214619.53236,0.9986253554782706,0.1633552783777663,1636299484.0603857,275.14959363351124,70805057341.79997,0.9988008146000682,0.9986004384573717
1905.0,0.16296895999803643,1661699898.4074252,279.6347209919238,80285004405.4397,0.9984577711472041,0.16290488875193232,1642360310.9370475,275.4836631950574,71912418493.82674,0.9986663964597038,0.9984314232766439
1905.5,0.16267817200706872,1669184893.9669194,280.1288148519383,81718686586.1269,0.9982871655128426,0.1625709252708402,1648586362.9909894,275.8185762272176,72985999979.20583,0.9985315583727683,0.9982597579187878
1906.0,0.1624960348656716,1676700318.894224,280.6340212850415,83165516742.8427,0.998113513303847,0.16232923526906562,1654902823.709101,276.14978573983115,74066043520.12625,0.9983964025105756,0.9980855149193989
1906.5,0.1624075510366352,1684232037.3103595,281.1540735706925,84626749222.45576,0.9979367865807686,0.16216210439288128,1661277687.8448057,276.48448687828665,75150768697.9974,0.9982609445826772,0.9979086897190841
1907.0,0.16240248830730347,1691770511.0063696,281.6912651837251,86103620475.23242,0.9977569547386708,0.16205672566021184,1667685352.473452,276.8267382163163,76241125749.59283,0.998125204163846,0.9977292715682096
1907.5,0.16247416369342232,1699309722.7036626,282.2469896356705,87597339851.27821,0.9975739845451609,0.16200401582612844,1674107017.4260302,277.17924085363944,77338082462.49452,0.9979891989338477,0.9975472472879968
1908.0,0.16261851259375706,1706846339.6604898,282.8220710125073,89109085021.08423,0.9973878401979769,0.1619977029351996,1680529231.9400048,277.543793377752,78442580437.66734,0.9978529446674663,0.9973626013767043
1908.5,0.16283337760015015,1714379064.44257,283.4169681782879,90640000257.83064,0.9971984833923071,0.16203362314894953,1686942712.0390167,277.9194345211387,79555530049.53966,0.9977164553166646,0.9971753160729413
1909.0,0.1631179664704983,1721908131.6327024,284.03190242499136,92191196482.175,0.9970058733917593,0.16210917916584255,1693341225.0659728,278.3069268967354,80677789600.45244,0.9975797431027311,0.9969853714290628
1909.5,0.16347244040454284,1729434918.4117188,284.6669384478113,93763752380.78462,0.9968099670992346,0.1622229235311557,1699721016.5322514,278.7078772347628,81810184753.68213,0.997442818651879,0.9967927454300429
1910.0,0.16389760270856132,1736961644.006084,285.32203661125135,95358716164.68774,0.9966107191254254,0.16237423857565042,1706080321.7312307,279.1232036370842,82953517594.29457,0.9973056910881749,0.9965974140762441
1910.5,0.1643946648094636,1744491138.4721837,285.9970873456523,96977107692.34535,0.9964080818535754,0.16256309085368903,1712418871.333401,279.5533957399717,84108562833.35606,0.9971683681062772,0.9963993514426169
1911.0,0.16496507185944026,1752026665.5462174,286.691934251534,98619920781.94751,0.9962020054997293,0.16278984340738237,1718737510.2907736,279.99867423166955,85274918354.777,0.9970307831877249,0.9961992408687314
1911.5,0.1656103742291012,1759571787.610416,287.4063899361947,100288125600.41246,0.9959924381680676,0.16305511315410096,1725037231.8575249,280.4588144614697,86450263247.63103,0.996892673511551,0.9959989818143061
1912.0,0.1663321343051044,1767113623.4112496,288.14296034351463,101982671056.79285,0.9957793259011668,0.16335966345296082,1731318012.5808318,280.9328771710936,87636596512.36176,0.9967538538976713,0.9957978436676952
1912.5,0.1671318604067631,1774647959.36305,288.9024221831032,103704518296.78532,0.995562612725171,0.16370431400223429,1737581507.3284328,281.42056962570416,88835054483.39008,0.9966141771710094,0.9955953914012665
1913.0,0.1680109614831167,1782178678.7964957,289.73250381073666,105454623782.61182,0.9953422406237904,0.16408985245284302,1743830177.5167959,281.9217511640794,90046245744.94933,0.996473500287682,0.995391535769803
1913.5,0.16897071767619312,1789712149.6827037,290.6255284306505,107234456572.56108,0.9951181495482523,0.16451699821220025,1750066794.2804122,282.43623857801646,91270362493.27861,0.9963316572980291,0.9951864607115795
1914.0,0.1700122629361839,1797254416.0987773,291.55580268617683,109045407742.87187,0.9948902763280356,0.16498639294507053,1756294114.9806306,282.9637268648241,92508523770.11183,0.996188518564286,0.9949797801643515
1914.5,0.17113657668526422,1804810138.2820868,292.509564438484,110888586455.54451,0.994658554836582,0.16549860145664147,1762515372.1186771,283.5040746166317,93761546070.65532,0.9960439752349795,0.9947712385606357
1915.0,0.17234449125053314,1812383111.4610052,293.4796225496306,112764946351.06474,0.994422916590364,0.1660541150439539,1768733982.8976197,284.10536251471837,95030140087.68208,0.9958979324575163,0.99456065098448
1915.5,0.1736367089069533,1819976574.7900612,294.46237852111045,114675356884.63078,0.9941832910793681,0.1666533655046823,1774957579.8842776,284.74288661033074,96315439097.06984,0.9957503051461903,0.9943495748141481
1916.0,0.17501382064604945,1827593398.386064,295.4561796035382,116620643556.87903,0.9939396059459882,0.16729674164648767,1781191806.884592,285.39547164810483,97618407519.0518,0.9956010247651808,0.9941361839485693
1916.5,0.17647632340824942,1835236199.0802448,296.4604129119764,118601610641.05165,0.9936917870784298,0.1679846046000882,1787440531.117406,286.05033108217236,98939767266.02026,0.9954500373913144,0.9939202187203553
1917.0,0.1780246347684228,1842907414.0326462,297.47501013277656,120619054096.78595,0.9934397586558176,0.16871727773124168,1793706456.6594858,286.7085574883336,100279888779.1775,0.9952972891085976,0.993701626219616
1917.5,0.17965910507926888,1850609349.052581,298.49738780445165,122673769000.28206,0.9931834431658619,0.1694950808699771,1799992177.0983505,287.3708456345848,101639176132.76257,0.9951427265694379,0.9934803546102609
1918.0,0.18138002746814003,1858344054.189393,299.52196565354177,124766519265.17523,0.9929227614067363,0.17031835620711955,1806300190.2727382,288.03766348297717,103018030751.12996,0.9949862967758635,0.9932563525681272
1918.5,0.1831876461747805,1866113158.0230978,300.55417136723634,126897999403.91307,0.9926576325532979,0.17118748159690714,1812628596.5633981,288.7100281049073,104416851197.38684,0.994827946959863,0.993029569088051
1919.0,0.18508216367879904,1873918485.0204682,301.59709480746426,129068972592.05714,0.9923879743045646,0.1721028754189922,1818960181.4891717,289.39121318255866,105836041230.69588,0.9946676244821034,0.9927999533250113
1919.5,0.18706374649220678,1881761961.9895592,302.65253308043407,131280244020.19981,0.9921137027378064,0.173064995965256,1825297718.2734678,290.080910641318,107276041955.13536,0.9945052770064374,0.9925674508021193
1920.0,0.18913252903546687,1889645566.1065605,303.721569094817,133532646349.91405,0.9918347322192634,0.17407433745314763,1831643730.4553406,290.7789994811938,108737358860.93642,0.9943408571738304,0.9923319597638506
1920.5,0.1912886172005372,1897571296.3810537,304.80489086809627,135827031946.51067,0.9915509753457699,0.1751314241420763,1838000572.2949405,291.48548271116414,110220401478.1203,0.9941743168995272,0.9920934318325549
1921.0,0.19353209224178763,1905541158.3136406,305.90296725292114,138164268886.45694,0.9912623429028835,0.17623680362091734,1844370413.739843,292.2004090863178,111725585071.0866,0.9940056075534316,0.991851817101361
1921.5,0.1958630151631564,1913557155.967299,307.0161444155804,140545239054.0726,0.9909687438314999,0.17739104054035257,1850755276.2179205,292.9238543977464,113253323819.03296,0.9938346799309783,0.9916070659146711
1922.0,0.19828143155514105,1921621288.1975572,308.1446987188818,142970837385.21646,0.99067008519851,0.17859470995205667,1857157057.3925335,293.65590858942164,114804031845.14606,0.9936614842399034,0.9913591279753978
1922.5,0.2007873767523235,1929735547.2092066,309.2888656969825,145441971733.50162,0.9903662721690664,0.179848390830043,1863577551.1268628,294.39666840127603,116378123936.44246,0.9934859700860886,0.9911079522864046
1923.0,0.20338088116381772,1937901918.4078476,310.44885595493395,147959563068.61905,0.9900572079791327,0.18115266010805692,1870018463.6434555,295.1462331691599,117976016156.85371,0.9933080864590115,0.9908534871372245
1923.5,0.20606197563998577,1946122380.9646864,311.6248639324193,150524545846.9304,0.9897427939076118,0.18250808744622038,1876481426.6892884,295.904702453697,119598159701.95961,0.9931277838335894,0.9905956594310967
1924.0,0.20883069676095858,1954398908.7660735,312.8170727770504,153137868467.0457,0.9894229292476872,0.18391523083480663,1882968022.9993699,296.6721833468856,121322164411.42876,0.9929450192606528,0.9903343447587677
1924.5,0.21168709195710428,1962733471.5617828,314.0256570947894,155800493763.23685,0.9890975112771947,0.18537463306831334,1889513399.182285,297.4687850914374,123453556655.88957,0.9927595778858849,0.9900693954177402
1925.0,0.2146312243946086,1971128036.2064877,315.2507845374511,158513399511.6281,0.9887664352279478,0.18688681936497092,1896276730.08138,298.38461393692705,125614306690.9301,0.992570561038149,0.9898002830997688
