time,mat=1_cost=1_rec=1,mat=0_cost=0_rec=0,mat=0.2_cost=0.2_rec=0.2,mat=2_cost=2_rec=2,mat=5_cost=5_rec=5,mat=5_cost=1_rec=1,mat=1_cost=5_rec=1,mat=1_cost=1_rec=5,mat=0.2_cost=1_rec=1,mat=1_cost=0.2_rec=1,mat=1_cost=1_rec=0.2,mat=2_cost=5_rec=0.2,mat=0.2_cost=2_rec=5,mat=5_cost=0.2_rec=2
1900.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1900.5,0.9998586736801662,0.9998586875,0.9998586847360332,0.9998586598603326,0.9998586184008316,0.9998586736801662,0.9998586736801662,0.9998586184008316,0.9998586736801662,0.9998586736801662,0.9998586847360332,0.9998586847360332,0.9998586184008316,0.9998586598603326
1901.0,0.999727950338167,0.9997627687397134,0.9997346412916138,0.9997270884492433,0.999726503263241,0.9997279439798822,0.9997266179559778,0.9997278369170871,0.999727951609824,0.9997346122491131,0.999727973022383,0.9997266395592854,0.9997270105365037,0.99973451395271
1901.5,0.9995969194352051,0.9997110269876821,0.9996168677292904,0.9995943870962851,0.999592764220508,0.9995969065935786,0.9995929392427669,0.9995967469838638,0.9995969220035303,0.9996168204103619,0.9995969539254733,0.9995929715500234,0.9995942722051162,0.9996166361610854
1902.0,0.9994654718940733,0.999702372150003,0.999505380225824,0.9994604326595158,0.9994572698484697,0.9994654524718997,0.9994575061338526,0.9994652394981192,0.9994654757785082,0.9995053143485497,0.9994655183732639,0.9994575493113518,0.999460280213679,0.9995050428421105
1902.5,0.9993335664501574,0.999702372150003,0.9994002479884507,0.9993251716602428,0.999319959491118,0.9993335403455749,0.9993202580084444,0.9993332731606372,0.9993335716710738,0.9994001632570584,0.9993336251080609,0.9993203122285532,0.999324981062936,0.9993998031188233
1903.0,0.9992011681442156,0.999702372150003,0.9993015495886253,0.9991885566414683,0.9991807783529165,0.9992011352497169,0.9991811401095005,0.9992008129744305,0.9992011747230568,0.9993014456917535,0.9992012391781722,0.9991812055511659,0.9991883272737608,0.9993009954500038
1903.5,0.9990682471413717,0.999702372150003,0.9992072135126838,0.9990505449321992,0.9990396762309626,0.9990682073426551,0.9990401022756853,0.9990678290639253,0.9990682551008118,0.9992070921065952,0.9990683307568606,0.9990401791248825,0.9990502761517227,0.9992065687527558
1904.0,0.9989347780922023,0.999702372150003,0.999115041167514,0.9989110979773124,0.9988966068276721,0.9989347312672706,0.9988970982529506,0.9989342960371146,0.9989347874562677,0.9991149040763966,0.9989348745032198,0.9988971867029497,0.9989107891175566,0.9991143262337253
1904.5,0.9988008146000682,0.999702372150003,0.9990242432840231,0.99877025233466,0.9987515966869741,0.9988007606184005,0.998752154601728,0.9988002674815761,0.998800825394261,0.9990240910862759,0.9988009240237673,0.9987522548476051,0.9987699027257915,0.9990234657047229
1905.0,0.9986663964597038,0.999702372150003,0.9989345474798196,0.9986280342973579,0.9986046641979569,0.9986663351862279,0.9986052897277914,0.9986657831759101,0.9986664087101826,0.9989343802357379,0.9986665191164643,0.9986054019671892,0.9986276432616383,0.9989337094034827
1905.5,0.9985315583727683,0.999702372150003,0.9988457607481475,0.9984844648359984,0.9984558223043787,0.9985314896676784,0.9984565165936816,0.9985308778031995,0.9985315721063752,0.9988455784354484,0.9985316944866856,0.9984566410272231,0.9984840316863305,0.9988448634786795
1906.0,0.9983964025105756,0.999702372150003,0.9987578225453947,0.9983396299612665,0.9983051475615536,0.9983963262294463,0.9983059117476542,0.9983956535417471,0.9983964177548132,0.9987576250653637,0.9983965523043471,0.9983060485737754,0.9983391540206852,0.9987568665529359
1906.5,0.9982609445826772,0.999702372150003,0.9986706103816332,0.998193534870248,0.9981526390668821,0.9982608605810918,0.9981534743062116,0.9982601260817192,0.9982609613647934,0.9986703976159557,0.9982611082828774,0.9981536237271592,0.9981930154476587,0.9986695959557906
1907.0,0.998125204163846,0.999702372150003,0.998584105646787,0.9980461855507557,0.9979982949034496,0.9981251122942777,0.9979992023744635,0.9981243149753712,0.998125222511467,0.9985838773817513,0.9981253820015531,0.9979993645962502,0.9980456219428019,0.9985830320958884
1907.5,0.9979891989338477,0.999702372150003,0.9984982939493525,0.9978975863185812,0.9978421116188505,0.9979890990468715,0.9978430925217113,0.9979882378802948,0.9979892188747498,0.9984980499623461,0.9979893911445751,0.9978432677541215,0.9978969778096008,0.9984971605015187
1908.0,0.9978529446674663,0.999702372150003,0.9984131710876556,0.9977477395448411,0.9976840838038474,0.9978528366131704,0.9976851393599587,0.9978519105492487,0.9978529662293054,0.9984129111444253,0.9978531514911319,0.9976853278165962,0.9977470854065752,0.9984119768611409
1908.5,0.9977164553166646,0.999702372150003,0.9983287463447698,0.997596645726541,0.9975242041551338,0.997716338946234,0.9975253356067258,0.9977153469122354,0.9977164785266736,0.9983284701979571,0.9977166769975789,0.9975255375050855,0.9975959452177504,0.9983274903252618
1909.0,0.9975797431027311,0.999702372150003,0.9982450264734406,0.997444303566259,0.9973624635478043,0.9975796182701762,0.9973636721575959,0.997578559168535,0.9975797679873838,0.9982447338789684,0.9975799798896061,0.997363887719163,0.997443555932244,0.99824370768397
1909.5,0.997442818651879,0.999702372150003,0.9981620538173958,0.9972907100662174,0.9971988511120771,0.997442685215948,0.9972001381630232,0.9974415579221882,0.9974428452365183,0.9981617444991195,0.9974430707978617,0.9972003676133998,0.9972899145382318,0.9981606709380245
